"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP01","DP01_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-01","10",",W","54.6",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-02","11",",W","54.6",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-03","10",",W","64.3",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-04","8",",W","65.6",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-05","10",",W","72.0",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-06","13",",W","77.9",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-07","8",",W","83.6",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-08","17",",W","81.8",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-09","10",",W","76.8",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-10","6",",W","71.9",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-11","10",",W","64.1",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2020-12","9",",W","50.2",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-01","14",",W","50.7",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-02","11",",W","51.5",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-03","8",",W","60.6",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-04","1",",W","65.0",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-05","6",",W","71.7",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-06","16",",W","78.8",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-07","14",",W","80.7",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-08","14",",W","80.9",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-09","9",",W","76.2",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-10","5",",W","69.1",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-11","6",",W","54.1",",W"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89945","-80.0407","11.8","2021-12","6",",W","59.2",",W"
