"STATION","DATE","DP01","TAVG"
"USW00003822","2020-01","9","57.1"
"USW00003822","2020-02","8","57.0"
"USW00003822","2020-03","6","67.7"
"USW00003822","2020-04","10","68.2"
"USW00003822","2020-05","5","74.2"
"USW00003822","2020-06","7","80.3"
"USW00003822","2020-07","12","84.8"
"USW00003822","2020-08","12","83.8"
"USW00003822","2020-09","15","78.8"
"USW00003822","2020-10","5","74.1"
"USW00003822","2020-11","11","66.1"
"USW00003822","2020-12","7","52.0"
"USW00003822","2021-01","9","52.7"
"USW00003822","2021-02","11","54.4"
"USW00003822","2021-03","10","63.1"
"USW00003822","2021-04","4","64.7"
"USW00003822","2021-05","3","72.4"
"USW00003822","2021-06","19","79.2"
"USW00003822","2021-07","17","81.0"
"USW00003822","2021-08","12","81.6"
"USW00003822","2021-09","9","76.3"
"USW00003822","2021-10","5","69.6"
"USW00003822","2021-11","5","55.0"
"USW00003822","2021-12","9","60.3"
"USW00003822","2022-01","7","49.6"
"USW00003822","2022-02","7","56.7"
"USW00003822","2022-03","11","62.8"
"USW00003822","2022-04","5","66.0"
"USW00003822","2022-05","8","75.8"
"USW00003822","2022-06","11","81.2"
"USW00003822","2022-07","16","83.0"
"USW00003822","2022-08","15","81.2"
"USW00003822","2022-09","9","75.8"
"USW00003822","2022-10","2","65.3"
"USW00003822","2022-11","11","61.8"
"USW00003822","2022-12","10","53.2"
"USW00003822","2023-01","8","55.7"
"USW00003822","2023-02","5","63.0"
"USW00003822","2023-03","7","63.1"
"USW00003822","2023-04","11","68.5"
"USW00003822","2023-05","7","71.4"
"USW00003822","2023-06","14","78.5"
"USW00003822","2023-07","11","84.4"
"USW00003822","2023-08","15","83.9"
"USW00003822","2023-09","8","77.6"
"USW00003822","2023-10","5","68.6"
"USW00003822","2023-11","9","59.2"
"USW00003822","2023-12","8","54.6"
"USW00003822","2024-01","9","51.9"
"USW00003822","2024-02","4","55.5"
"USW00003822","2024-03","11","63.4"
"USW00003822","2024-04","4","68.3"
"USW00003822","2024-05","10","76.9"
"USW00003822","2024-06","7","82.0"
"USW00003822","2024-07","15","84.3"
"USW00003822","2024-08","11","82.4"
"USW00003822","2024-09","11","78.2"
"USW00003822","2024-10","3","69.5"
"USW00003822","2024-11","11","64.8"
"USW00003822","2024-12","9","53.7"
