"STATION","DATE","DP01","TAVG"
"USW00013889","2020-01","2","59.5"
"USW00013889","2020-02","10","59.9"
"USW00013889","2020-03","4","70.8"
"USW00013889","2020-04","11","70.3"
"USW00013889","2020-05","7","74.8"
"USW00013889","2020-06","11","79.5"
"USW00013889","2020-07","15","82.2"
"USW00013889","2020-08","19","82.2"
"USW00013889","2020-09","16","78.8"
"USW00013889","2020-10","12","74.6"
"USW00013889","2020-11","14","67.3"
"USW00013889","2020-12","7","52.7"
"USW00013889","2021-01","7","54.7"
"USW00013889","2021-02","12","57.9"
"USW00013889","2021-03","7","63.6"
"USW00013889","2021-04","8","65.7"
"USW00013889","2021-05","6","72.3"
"USW00013889","2021-06","18","79.1"
"USW00013889","2021-07","15","81.1"
"USW00013889","2021-08","20","81.9"
"USW00013889","2021-09","8","77.9"
"USW00013889","2021-10","5","71.8"
"USW00013889","2021-11","5","58.0"
"USW00013889","2021-12","6","63.4"
"USW00013889","2022-01","6","52.4"
"USW00013889","2022-02","7","58.8"
"USW00013889","2022-03","14","64.5"
"USW00013889","2022-04","6","68.2"
"USW00013889","2022-05","9","75.5"
"USW00013889","2022-06","6","80.7"
"USW00013889","2022-07","17","82.6"
"USW00013889","2022-08","16","81.6"
"USW00013889","2022-09","12","78.0"
"USW00013889","2022-10","4","68.5"
"USW00013889","2022-11","5","65.8"
"USW00013889","2022-12","4","56.3"
"USW00013889","2023-01","5","58.0"
"USW00013889","2023-02","5","65.5"
"USW00013889","2023-03","9","65.4"
"USW00013889","2023-04","10","70.6"
"USW00013889","2023-05","10","74.2"
"USW00013889","2023-06","16","80.1"
"USW00013889","2023-07","15","84.7"
"USW00013889","2023-08","8","84.5"
"USW00013889","2023-09","13","78.3"
"USW00013889","2023-10","4","70.4"
"USW00013889","2023-11","8","61.6"
"USW00013889","2023-12","10","57.3"
"USW00013889","2024-01","10","54.8"
"USW00013889","2024-02","6","57.5"
"USW00013889","2024-03","12","65.5"
"USW00013889","2024-04","3","68.7"
"USW00013889","2024-05","11","78.3"
"USW00013889","2024-06","13","82.6"
"USW00013889","2024-07","18","84.5"
"USW00013889","2024-08","18","83.1"
"USW00013889","2024-09","19","79.7"
"USW00013889","2024-10","8","72.2"
"USW00013889","2024-11","8","67.8"
"USW00013889","2024-12","9","57.0"
