"STATION","DATE","DP01","TAVG"
"USW00013958","2020-01","9","57.5"
"USW00013958","2020-02","9","55.0"
"USW00013958","2020-03","10","68.7"
"USW00013958","2020-04","10","69.3"
"USW00013958","2020-05","11","77.7"
"USW00013958","2020-06","6","83.2"
"USW00013958","2020-07","3","88.9"
"USW00013958","2020-08","1","89.5"
"USW00013958","2020-09","8","78.2"
"USW00013958","2020-10","4","71.8"
"USW00013958","2020-11","4","66.3"
"USW00013958","2020-12","5","54.9"
"USW00013958","2021-01","9","53.6"
"USW00013958","2021-02","11","48.3"
"USW00013958","2021-03","8","64.8"
"USW00013958","2021-04","8","69.1"
"USW00013958","2021-05","14","75.1"
"USW00013958","2021-06","11","83.6"
"USW00013958","2021-07","12","84.1"
"USW00013958","2021-08","6","85.9"
"USW00013958","2021-09","3","82.9"
"USW00013958","2021-10","7","74.3"
"USW00013958","2021-11","3","61.6"
"USW00013958","2021-12","5","65.1"
"USW00013958","2022-01","4","50.1"
"USW00013958","2022-02","5","50.0"
"USW00013958","2022-03","6","62.3"
"USW00013958","2022-04","8","73.7"
"USW00013958","2022-05","8","82.3"
"USW00013958","2022-06","2","87.7"
"USW00013958","2022-07","0","90.6"
"USW00013958","2022-08","8","88.0"
"USW00013958","2022-09","3","82.7"
"USW00013958","2022-10","5","72.3"
"USW00013958","2022-11","15","59.2"
"USW00013958","2022-12","8","55.0"
"USW00013958","2023-01","8","56.6"
"USW00013958","2023-02","6","56.7"
"USW00013958","2023-03","7","65.8"
"USW00013958","2023-04","7","68.5"
"USW00013958","2023-05","9","76.9"
"USW00013958","2023-06","6","86.4"
"USW00013958","2023-07","2","90.8"
"USW00013958","2023-08","1","91.1"
"USW00013958","2023-09","5","85.9"
"USW00013958","2023-10","8","72.1"
"USW00013958","2023-11","6","59.4"
"USW00013958","2023-12","7","55.8"
"USW00013958","2024-01","9","47.7"
"USW00013958","2024-02","3","60.7"
"USW00013958","2024-03","8","65.7"
"USW00013958","2024-04","9","71.8"
"USW00013958","2024-05","9","80.0"
"USW00013958","2024-06","3","86.2"
"USW00013958","2024-07","7","85.9"
"USW00013958","2024-08","4","88.0"
"USW00013958","2024-09","2","83.1"
"USW00013958","2024-10","1","78.1"
"USW00013958","2024-11","5","66.0"
"USW00013958","2024-12","13","59.6"
