"STATION","DATE","DP01","TAVG"
"USW00013882","2020-01","13","47.1"
"USW00013882","2020-02","15","47.7"
"USW00013882","2020-03","17","58.6"
"USW00013882","2020-04","11","59.8"
"USW00013882","2020-05","12","67.7"
"USW00013882","2020-06","13","77.7"
"USW00013882","2020-07","12","83.4"
"USW00013882","2020-08","15","81.6"
"USW00013882","2020-09","9","74.4"
"USW00013882","2020-10","6","65.9"
"USW00013882","2020-11","7","55.5"
"USW00013882","2020-12","10","43.8"
"USW00013882","2021-01","11","44.3"
"USW00013882","2021-02","12","45.1"
"USW00013882","2021-03","11","57.0"
"USW00013882","2021-04","5","61.1"
"USW00013882","2021-05","7","68.9"
"USW00013882","2021-06","14","78.0"
"USW00013882","2021-07","14","80.2"
"USW00013882","2021-08","12","80.0"
"USW00013882","2021-09","9","72.8"
"USW00013882","2021-10","12","65.7"
"USW00013882","2021-11","5","48.8"
"USW00013882","2021-12","13","52.8"
"USW00013882","2022-01","9","40.4"
"USW00013882","2022-02","10","47.5"
"USW00013882","2022-03","11","55.6"
"USW00013882","2022-04","8","61.0"
"USW00013882","2022-05","11","72.9"
"USW00013882","2022-06","8","79.8"
"USW00013882","2022-07","16","83.1"
"USW00013882","2022-08","11","79.6"
"USW00013882","2022-09","8","73.1"
"USW00013882","2022-10","5","59.6"
"USW00013882","2022-11","9","53.1"
"USW00013882","2022-12","13","45.0"
"USW00013882","2023-01","15","48.2"
"USW00013882","2023-02","14","53.7"
"USW00013882","2023-03","11","54.9"
"USW00013882","2023-04","13","61.3"
"USW00013882","2023-05","10","69.3"
"USW00013882","2023-06","11","75.1"
"USW00013882","2023-07","13","81.3"
"USW00013882","2023-08","13","80.6"
"USW00013882","2023-09","5","75.3"
"USW00013882","2023-10","4","64.1"
"USW00013882","2023-11","3","54.2"
"USW00013882","2023-12","9","47.0"
"USW00013882","2024-01","14","39.2"
"USW00013882","2024-02","8","50.8"
"USW00013882","2024-03","10","56.8"
"USW00013882","2024-04","8","64.3"
"USW00013882","2024-05","12","73.0"
"USW00013882","2024-06","9","80.2"
"USW00013882","2024-07","13","83.2"
"USW00013882","2024-08","4","81.6"
"USW00013882","2024-09","11","75.9"
"USW00013882","2024-10","4","65.8"
"USW00013882","2024-11","11","58.0"
"USW00013882","2024-12","10","45.8"
