"STATION","DATE","DP01","TAVG"
"USW00003856","2020-01","15","46.8"
"USW00003856","2020-02","14","47.1"
"USW00003856","2020-03","20","59.0"
"USW00003856","2020-04","12","58.9"
"USW00003856","2020-05","10","67.2"
"USW00003856","2020-06","13","76.6"
"USW00003856","2020-07","9","81.3"
"USW00003856","2020-08","13","80.1"
"USW00003856","2020-09","6","72.5"
"USW00003856","2020-10","8","64.0"
"USW00003856","2020-11","7","54.7"
"USW00003856","2020-12","11","43.0"
"USW00003856","2021-01","10","42.8"
"USW00003856","2021-02","14","41.5"
"USW00003856","2021-03","12","56.7"
"USW00003856","2021-04","8","59.8"
"USW00003856","2021-05","10","68.0"
"USW00003856","2021-06","14","76.6"
"USW00003856","2021-07","16","79.6"
"USW00003856","2021-08","15","79.1"
"USW00003856","2021-09","8","72.6"
"USW00003856","2021-10","11","65.5"
"USW00003856","2021-11","6","48.7"
"USW00003856","2021-12","12","53.9"
"USW00003856","2022-01","9","39.1"
"USW00003856","2022-02","10","45.6"
"USW00003856","2022-03","11","54.3"
"USW00003856","2022-04","12","60.7"
"USW00003856","2022-05","12","73.0"
"USW00003856","2022-06","5","80.4"
"USW00003856","2022-07","8","84.3"
"USW00003856","2022-08","7","79.8"
"USW00003856","2022-09","9","72.8"
"USW00003856","2022-10","6","60.0"
"USW00003856","2022-11","12","53.2"
"USW00003856","2022-12","15","45.9"
"USW00003856","2023-01","13","48.9"
"USW00003856","2023-02","12","53.3"
"USW00003856","2023-03","13","55.2"
"USW00003856","2023-04","13","60.5"
"USW00003856","2023-05","9","70.4"
"USW00003856","2023-06","10","77.3"
"USW00003856","2023-07","13","80.8"
"USW00003856","2023-08","13","80.0"
"USW00003856","2023-09","6","74.8"
"USW00003856","2023-10","4","64.7"
"USW00003856","2023-11","6","54.0"
"USW00003856","2023-12","8","47.4"
"USW00003856","2024-01","12","39.1"
"USW00003856","2024-02","10","51.2"
"USW00003856","2024-03","13","56.9"
"USW00003856","2024-04","9","64.0"
"USW00003856","2024-05","13","74.3"
"USW00003856","2024-06","8","80.8"
"USW00003856","2024-07","16","81.8"
"USW00003856","2024-08","3","81.3"
"USW00003856","2024-09","10","75.8"
"USW00003856","2024-10","1","67.0"
"USW00003856","2024-11","10","59.1"
"USW00003856","2024-12","12","46.5"
