"STATION","DATE","DP01","TAVG"
"USW00012916","2020-01","12","59.9"
"USW00012916","2020-02","9","61.0"
"USW00012916","2020-03","9","73.1"
"USW00012916","2020-04","10","72.6"
"USW00012916","2020-05","10","77.9"
"USW00012916","2020-06","12","83.7"
"USW00012916","2020-07","17","85.5"
"USW00012916","2020-08","17","84.3"
"USW00012916","2020-09","9","79.7"
"USW00012916","2020-10","5","74.1"
"USW00012916","2020-11","8","67.3"
"USW00012916","2020-12","10","56.5"
"USW00012916","2021-01","8","55.4"
"USW00012916","2021-02","9","54.6"
"USW00012916","2021-03","7","66.6"
"USW00012916","2021-04","8","69.7"
"USW00012916","2021-05","11","77.1"
"USW00012916","2021-06","18","82.9"
"USW00012916","2021-07","20","84.9"
"USW00012916","2021-08","13","85.3"
"USW00012916","2021-09","14","79.4"
"USW00012916","2021-10","4","75.4"
"USW00012916","2021-11","4","61.3"
"USW00012916","2021-12","10","65.6"
"USW00012916","2022-01","11","52.1"
"USW00012916","2022-02","8","57.4"
"USW00012916","2022-03","7","63.5"
"USW00012916","2022-04","8","71.3"
"USW00012916","2022-05","12","80.0"
"USW00012916","2022-06","9","85.1"
"USW00012916","2022-07","16","84.1"
"USW00012916","2022-08","23","82.7"
"USW00012916","2022-09","3","80.6"
"USW00012916","2022-10","4","70.0"
"USW00012916","2022-11","11","63.1"
"USW00012916","2022-12","10","59.1"
"USW00012916","2023-01","9","61.1"
"USW00012916","2023-02","8","64.0"
"USW00012916","2023-03","8","67.6"
"USW00012916","2023-04","10","70.9"
"USW00012916","2023-05","9","78.4"
"USW00012916","2023-06","9","84.8"
"USW00012916","2023-07","9","86.7"
"USW00012916","2023-08","4","89.0"
"USW00012916","2023-09","7","83.6"
"USW00012916","2023-10","2","72.9"
"USW00012916","2023-11","11","62.5"
"USW00012916","2023-12","6","58.0"
"USW00012916","2024-01","13","52.9"
"USW00012916","2024-02","7","60.7"
"USW00012916","2024-03","11","65.7"
"USW00012916","2024-04","5","72.1"
"USW00012916","2024-05","11","80.7"
"USW00012916","2024-06","11","84.7"
"USW00012916","2024-07","19","84.6"
"USW00012916","2024-08","7","86.0"
"USW00012916","2024-09","12","80.9"
"USW00012916","2024-10","3","74.5"
"USW00012916","2024-11","16","70.2"
"USW00012916","2024-12","10","59.1"
