"STATION","DATE","DP01","TAVG"
"USW00013737","2020-01","12","47.6"
"USW00013737","2020-02","12","48.9"
"USW00013737","2020-03","11","57.0"
"USW00013737","2020-04","13","59.0"
"USW00013737","2020-05","14","65.3"
"USW00013737","2020-06","8","76.6"
"USW00013737","2020-07","8","85.4"
"USW00013737","2020-08","14","81.8"
"USW00013737","2020-09","11","74.4"
"USW00013737","2020-10","7","66.7"
"USW00013737","2020-11","8","58.1"
"USW00013737","2020-12","11","46.5"
"USW00013737","2021-01","10","42.4"
"USW00013737","2021-02","16","42.9"
"USW00013737","2021-03","9","54.2"
"USW00013737","2021-04","9","60.9"
"USW00013737","2021-05","7","67.9"
"USW00013737","2021-06","12","78.1"
"USW00013737","2021-07","10","81.7"
"USW00013737","2021-08","11","79.2"
"USW00013737","2021-09","5","72.8"
"USW00013737","2021-10","11","66.6"
"USW00013737","2021-11","7","50.5"
"USW00013737","2021-12","9","49.7"
"USW00013737","2022-01","11","38.4"
"USW00013737","2022-02","6","44.8"
"USW00013737","2022-03","10","53.9"
"USW00013737","2022-04","7","59.1"
"USW00013737","2022-05","15","67.8"
"USW00013737","2022-06","7","75.6"
"USW00013737","2022-07","12","81.4"
"USW00013737","2022-08","7","79.6"
"USW00013737","2022-09","5","74.7"
"USW00013737","2022-10","8","60.2"
"USW00013737","2022-11","9","55.8"
"USW00013737","2022-12","7","44.0"
"USW00013737","2023-01","12","47.8"
"USW00013737","2023-02","8","50.8"
"USW00013737","2023-03","9","51.7"
"USW00013737","2023-04","9","62.9"
"USW00013737","2023-05","12","64.6"
"USW00013737","2023-06","10","72.9"
"USW00013737","2023-07","10","82.1"
"USW00013737","2023-08","10","79.7"
"USW00013737","2023-09","8","74.4"
"USW00013737","2023-10","6","63.8"
"USW00013737","2023-11","4","52.3"
"USW00013737","2023-12","10","49.1"
"USW00013737","2024-01","12","45.0"
"USW00013737","2024-02","8","45.8"
"USW00013737","2024-03","12","54.1"
"USW00013737","2024-04","7","61.6"
"USW00013737","2024-05","13","69.8"
"USW00013737","2024-06","8","79.0"
"USW00013737","2024-07","15","81.4"
"USW00013737","2024-08","8","78.9"
"USW00013737","2024-09","10","73.4"
"USW00013737","2024-10","2","64.0"
"USW00013737","2024-11","7","58.3"
"USW00013737","2024-12","8","46.9"
