date_trapped,genus,species,sex,trap_type,height,location,date_ID,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Uranotaenia,Ur. lowii,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,unknown,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,midlevel,FLB,6/20/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,midlevel,FLB,6/23/25,,
6/17/25,Anopheles,unknown,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Psorophora,Ps. ferox,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Uranotaenia,Ur. lowii,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Culex,Cx. salinarius,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Uranotaenia,Ur. lowii,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,unknown,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Uranotaenia,Ur. lowii,M,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Aedes,unknown,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Uranotaenia,Ur. lowii,M,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Coquilletidia,Cq. perturbans,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Uranotaenia,Ur. lowii,M,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,6/23/25,,
6/17/25,Anopheles,An. crucians complex,F,cdc_light,10ft,FLB,7/1/25,,
