Species,oct3_b_a_2,oct3_p_2,oct1_b_a_3,oct1_p_3,oct3_b_a_1,oct3_p_1,oct7_b_a_2,oct7_p_2,oct1_b_a_1,oct1_p_1,sept24_b_b_2,sept24_p_2,sept10_b_b_1,sept10_p_1,oct1_b_a_2,oct1_p_2,sept19_p_1,sept10_b_b_1,,sept19_p_3,oct2_b_a_2,oct3_b_a_3 ,sept9_b_b_1,sept10_p_1,sept24_p_3
Ae_atlanticustor,3,3,8,,6,3,,1,2,0,3,1,14,8,5,2,22,14,,2,6,2,3,8,
Ae_hendersoni,,,,,,,,,,,1,,,,,,6,,,,,,,,
Ae_cinereus,,,,,,,,,0,1,,,3,,,1,,3,,,,1,3,,
Ae. triseriatus,,,,,,,1,,,,,,,,,,,,,,,,,,
Ae_vexans,3,,1,,6,,1,,,,2,,2,1,,,3,2,,2,3,2,,1,
Ae_fulvenspallens,,,,,,,,,0,0,,,,,,,1,,,1,,,1,,
Ae_spp,,1,1,,3,,,1,3,4,15,,1,5,2,,2,1,,6,1,6,,5,
An_crucianscomp,,2,,,1,3,1,1,8,1,1,1,2,,1,3,,2,,4,1,6,4,,
Cq_perturbans,1,,2,,2,1,,1,,,1,,,1,1,,5,,,1,1,1,5,1,
Cx_erraticus,1,,3,3,,2,1,1,,2,1,1,4,,1,1,5,4,,1,6,2,1,,1
Cx_restuans,,,4,,,,,,1,,,,,,,,,,,,,,,,
Cx. nigripalpus,,,,2,,,,,,,,,,,,,,,,,,,,,
Mn_dyari,,,1,,,,,1,1,,1,,1,,,,,1,,,,2,,,
Ur_sapphirina,2,2,7,5,1,1,20,10,16,,3,7,12,6,16,4,17,12,,10,4,27,5,6,1
Ae_canadensis_canadensis,,,,,,,, ,,,,,1,,,,,1,,,,,1,,
An_spp,,,1,1,,,,1,,,1,,,,,,4,,,1,1,4,1,,1
An. pseudopunctipennis,,,,,,,,,,,,,,,1,,,,,,,,,,
An_punctipennis,4,,,2,,1,2,,,,,,,,2,,3,,,,,2,,,
An_quadrimaculatus,6,,,,2,,6,,,,,1,,1,1,,5,,,,,1,,1,1
Ae_dupreei,1,,,,,,,,,,,,1,2,,,,1,,,,,,2,
unknown,,,,,,,,,,,,,,1,,,,,,,,,,1,
Cs_melanura,1,1,1,,,,1,,,,,2,,,,1,,,,,1,,,,1
Cx_salinarius,,,,,,,,,,,,1,,,,1,,,,,,,,,
Ur_lowii,,,,,,,,,,,,1,,,,,,,,,1,,,,
Ps_colombiae,,,,,,,,,,,,,,,,,,,,,1,,,,
Cx_spp,,,1,,,,,1,,,,,,,,,2,,,,,,,,
