Species,Bird-Feeding Preference ,Habitat,Virus Association / Vector Role
Aedes atlanticus / tormentor ,Opportunistic; birds and mammals,"woodland pools, floodwater pools","EEE, La Crosse, WNV detected; minor vectors"
Aedes cantator ,Secondary bird-feeder (songbirds), coastal salt marshes ,Potential EEE involvement
Aedes dupreei ,Primarily songbirds,summer rainwater pools,not listed as important 
Aedes sticticus ,Opportunistic; birds and mammals,"Riverine floodwaters, vernal pools",no major role listed
Aedes vexans ,Opportunistic; birds and mammals,floodwater pools,"WNV, EEEV,dog heartworm"
Coquillettidia perturbans ,Birds and mammals ,"Aquatic vegetation (cattails, marshes)",known EEEV bridge vector
Culex coronator ,Occasionally feeds on birds, Rain-filled depressions (temp water) and containers,"SLE, VEE detected"
Culex erraticus ,Large wading birds,Permanent vegetated waters,EEEV
Culex nigripalpus,Birds and mammals ,Coastal ditches/marshes,"EEEV, SLE, WNV vector"
Culex peccator ,Occasional bird-feeder (wading birds),Swamps/marshes,EEEV has been detected
Culex pipiens / quinquefasciatus,Primarily songbirds,dirty water/made made containers,"WNV, EEE, SLE; dog heartworm"
Culex restuans ,Primarily songbirds,semipermanent pools,"WNV, EEEV"
Culex salinarius ,Birds and mammals,coastal marshes/dam water/artificial,"WNV, EEE, SLE bridge vector"
Culex tarsalis  ,Primarily birds,pools and ditches,"WNV, WEE, California encephalitis"
Culex territans ,Amphibian but will feed on birds,"Ponds, marshes, swamps",no known
Culiseta melanura,Strongly bird (mammal in summer),Hardwood swamps/crypts,primary EEEV vector + amplifier
Mansonia dyari,Birds and mammals,vegetated waters,possible VEEV in Carribean
Mansonia titillans ,Secondary bird feeding,vegetated waters,EEEV bridge vector
Orthopodomyia alba,Bird-feeding suspected,tree holes/swamps,no known association or role as of now
,,,
,,,
Mn. Dyari --> 38% bloodmeals on American crows in Canada (Shahhosseini et al 2021) but primarily feeds on turtles,,,
American robin was the most common source of vertebrate blood for Cx. pipiens (38%) and Cx. restuans (37%). (https://pmc.ncbi.nlm.nih.gov/articles/PMC3291451/),,,
Cx pipiens and restuans suspected to be 'more efficient enzootic vectors in northeast US (same as above source),,,
punctipennis fed on ~ 5.8% bird in blood meal analysis (https://onlinelibrary.wiley.com/doi/full/10.1111/j.1948-7134.2014.12066.x),,,
